"Participant"	"Gender"	"Background"	"Position"	"Lecturer"	"Grade"	"GradeNumerical"
28	"Male"	"More dry lab"	"MSc"	"AlbaSanchisJuan_workshop"	"Good"	2
1	"Female"	"More dry lab"	"PostDoc"	"NikolaiKulemin_workshop"	"Average"	3
3	"Male"	"More dry lab"	"MSc"	"NikolaiKulemin_workshop"	"Below average"	4
4	"Male"	"More dry lab"	"PostDoc"	"NikolaiKulemin_workshop"	"Below average"	4
5	"Male"	"More dry lab"	"MSc"	"NikolaiKulemin_workshop"	"Average"	3
6	"Female"	"More dry lab"	"MSc"	"NikolaiKulemin_workshop"	"Good"	2
7	"Male"	"More dry lab"	"PhD"	"NikolaiKulemin_workshop"	"Below average"	4
8	"Male"	"More dry lab"	"MSc"	"NikolaiKulemin_workshop"	"Below average"	4
9	"Female"	"More dry lab"	"MSc"	"NikolaiKulemin_workshop"	"Average"	3
10	"Female"	"More wet lab"	"MSc"	"NikolaiKulemin_workshop"	"Good"	2
11	"Female"	"More dry lab"	"MSc"	"NikolaiKulemin_workshop"	"Good"	2
12	"Female"	"More wet lab"	"PhD"	"NikolaiKulemin_workshop"	"Average"	3
13	"Male"	"More wet lab"	"MSc"	"NikolaiKulemin_workshop"	"Below average"	4
14	"Male"	"More wet lab"	"PhD"	"NikolaiKulemin_workshop"	"Average"	3
16	"Female"	"More dry lab"	"MSc"	"NikolaiKulemin_workshop"	"Average"	3
17	"Male"	"More wet lab"	"PostDoc"	"NikolaiKulemin_workshop"	"Extremely bad"	5
18	"Male"	"More dry lab"	"PhD"	"NikolaiKulemin_workshop"	"Extremely bad"	5
19	"Male"	"More dry lab"	"Industry specialist"	"NikolaiKulemin_workshop"	"Good"	2
21	"Male"	"More dry lab"	"MSc"	"NikolaiKulemin_workshop"	"Average"	3
22	"Female"	"More dry lab"	"PhD"	"NikolaiKulemin_workshop"	"Average"	3
23	"Female"	"More dry lab"	"MSc"	"NikolaiKulemin_workshop"	"Average"	3
24	"Female"	"More dry lab"	"PhD"	"NikolaiKulemin_workshop"	"Average"	3
25	"Male"	"More wet lab"	"MSc"	"NikolaiKulemin_workshop"	"Average"	3
26	"Female"	"More dry lab"	"PhD"	"NikolaiKulemin_workshop"	"Average"	3
27	"Male"	"More wet lab"	"PhD"	"NikolaiKulemin_workshop"	"Extremely bad"	5
28	"Male"	"More dry lab"	"MSc"	"NikolaiKulemin_workshop"	"Below average"	4
